word,bias_C1,bias_C2,bias_C3,bias_C4,bias_C5,bias_C6,bias_C7,bias_C8,bias_C9,bias_C10,bias_C11,bias_C12,bias_C13,bias_C14,bias_C15
murderer,-0.5909537971428575,2.0463718642857143,4.2316966180952384,-1.5055759685714283,8.63589741904762,-0.28561453047619045,6.750617740952381,6.4395184809523816,-2.4842868855238094,-2.7829382342857145,-0.3741865866666666,2.3386431338095237,2.577154661904762,-2.1339879130952384,0.18335387135714304
decontamination,-3.5790344016666666,4.379381945,-1.5354255566666666,-3.69281978,-3.5674529333333336,-3.576727731508667,-2.2491923866666665,0.36437603666666674,-2.0601440845666668,-5.9906923333333335,2.848567828333333,0.7357269026666666,0.20947563999999996,1.9956014066666667,-5.03320065
poetry,8.96718305169074,-2.427061912851753,-0.593738192640244,-2.670995140389863,0.38337828656592987,-15.454054570034298,1.5066592839435975,-0.33086684891463414,10.04285738546113,-2.0586435456181404,-1.1301856613358994,-3.6275443729794206,6.658741291545122,-6.641450335270579,-1.941337045737805
bungalows,-3.9165877333333334,4.666354800000001,6.649024153333334,-13.348223633333333,1.0099929666666663,-7.22706415,0.7879274833333334,0.5474677,-0.2002259706666667,2.265138863333333,1.6908364333333332,3.223854793333333,-0.6841302066666668,3.098328883333333,-2.4128197316666666
aspects,-6.674118165416667,4.216578137375,5.943833578333333,2.9817505281666667,11.45353223,-1.9630228220416668,3.4426913712499996,-2.371802136375,-1.7311585170833335,2.5959429104166665,-0.9481816320416667,-1.2987582987500002,0.2959056599833334,-6.644420831666667,-2.351877592916667
shortages,-1.2646404199999999,-1.9210760318181819,1.0857664854545455,0.3303745113636364,-4.67977549,1.1174488263636362,-0.8326960545454547,1.85723147,0.7467178168181818,1.842423272727273,-5.197877485454546,0.8487043654545456,-3.3605803063636364,-2.641477972727273,-5.5157353490909085
life,4.311407756933945,-3.3853268697638947,-0.48234679021257865,3.9672791986642553,-4.643329480269324,-1.9266899973624323,-3.011477191643518,-1.1932637482387898,-0.9190522051324544,-0.3565265631760769,3.9388608059947905,-9.304878676164897,10.092490090418593,0.12527956981876978,-3.6320080689262477
anniversaries,0.06588874000000003,2.57449544,-1.4864921999999998,-0.9259913686000001,3.0926183600000003,-3.2891672,-0.902543226,0.1882286132,0.9998621139999999,1.8890218,0.7775115438,3.5883702200000003,-0.17892371799999993,-0.6917336000000001,1.871526594
symbols,-1.105683907520202,-6.184721320090909,-3.19474797829798,0.0278288120202021,7.112644511525253,9.924287796969697,7.689947266515152,1.981564501878788,6.094153520353535,5.51029825989394,-2.2513711011363635,-1.4593911646767677,-0.3567567752373737,-1.7870645996464647,-1.0199271871313131
specialization,-1.5532634112500001,-0.4138494737500001,0.297602515,0.001533100624999978,-2.0873310625,-1.7441274275,-0.2224364475,-2.55900925,0.5808598112499999,0.11575334999999992,2.6461248625,-0.37689804800000004,-0.236874989125,-0.23583117125000003,1.5286401275
