condition,layer,mode,term,n,estimate,se,t,p,ci_lo,ci_hi
attn_zeroed,1,individual,log_freq,146850,-0.08390706731470864,0.014721450618908232,-5.699646691538563,1.2028498584550806e-8,-0.11276081815555802,-0.05505331647385925
attn_zeroed,1,individual,model_size125,146850,0.20013241016171232,0.014520853742068702,13.782413466634132,3.460244835391492e-43,0.17167182521555718,0.22859299510786746
attn_zeroed,1,individual,model_size1300,146850,1.5125515124573972,0.01452085374208807,104.16408975137128,0,1.484090927511204,1.5410120974035904
attn_zeroed,1,individual,log_freq:model_size125,146850,-0.011244219097393699,0.02081927512310158,-0.5400869641670106,0.589137879261115,-0.052049584861927095,0.0295611466671397
attn_zeroed,1,individual,log_freq:model_size1300,146850,-0.057644220565410575,0.020819275123070538,-2.76879095091707,0.005627177804451368,-0.09844958632988313,-0.016838854800938025
attn_zeroed,1,mean_pooled,log_freq,146850,-0.05334353166351605,0.015050227522850903,-3.5443671255151497,3.936790085800526e-4,-0.08284167870648992,-0.023845384620542174
attn_zeroed,1,mean_pooled,model_size125,146850,0.11834104120447081,0.014845150678526162,7.971696870389718,1.5762361617256853e-15,0.08924484070348877,0.14743724170545286
attn_zeroed,1,mean_pooled,model_size1300,146850,1.3427515606471536,0.01484515067854596,90.45051746006746,0,1.3136553601461327,1.3718477611481745
attn_zeroed,1,mean_pooled,log_freq:model_size125,146850,-0.02254913061037022,0.02128423587965314,-1.0594287123046906,0.28940632182097903,-0.06426581022349134,0.019167549002750903
attn_zeroed,1,mean_pooled,log_freq:model_size1300,146850,-0.08348923110283091,0.021284235879621406,-3.922585315020291,8.76436665667356e-5,-0.12520591071588982,-0.041772551489771985
attn_zeroed,1,words_only,log_freq,146850,-0.08306139535056745,0.014836302905379557,-5.598523829036266,2.165693369551814e-8,-0.11214025439190144,-0.053982536309233456
attn_zeroed,1,words_only,model_size125,146850,0.18252303250881755,0.014634141032633005,12.472411746053647,1.1007698619928207e-35,0.1538404067230743,0.21120565829456078
attn_zeroed,1,words_only,model_size1300,146850,1.4858858272902757,0.014634141032652523,101.53556836543281,0,1.4572032015044942,1.5145684530760573
attn_zeroed,1,words_only,log_freq:model_size125,146850,-0.01541287340872086,0.020981700784299166,-0.7345864649949865,0.46259255657417153,-0.056536590243381535,0.025710843425939812
attn_zeroed,1,words_only,log_freq:model_size1300,146850,-0.06179017506125502,0.02098170078426788,-2.9449554970103002,0.003230517476334229,-0.10291389189585437,-0.020666458226655672
attn_zeroed,2,individual,log_freq,146850,-0.08518651966583445,0.014585388467326736,-5.840538279570948,5.214157589871459e-9,-0.11377359139181725,-0.05659944793985164
attn_zeroed,2,individual,model_size125,146850,0.1112846084046898,0.01438664559546062,7.735271413080693,1.0383439488504578e-14,0.08308706876047442,0.13948214804890519
attn_zeroed,2,individual,model_size1300,146850,1.4012947590869078,0.014386645595479808,97.40246604303547,0,1.3730972194426547,1.429492298731161
attn_zeroed,2,individual,log_freq:model_size125,146850,-0.0055204504011297515,0.020626854183009035,-0.2676341410158954,0.7889813244686767,-0.04594867494461653,0.03490777414235703
attn_zeroed,2,individual,log_freq:model_size1300,146850,-0.05172887955388849,0.02062685418297828,-2.507841433066234,0.012148186207614183,-0.09215710409731498,-0.011300655010461992
attn_zeroed,2,mean_pooled,log_freq,146850,-0.046421363828633,0.015055435187595273,-3.083362470111875,0.0020471363119841835,-0.07592971779108013,-0.016913009866185873
attn_zeroed,2,mean_pooled,model_size125,146850,0.130607426690122,0.01485028738278502,8.79494270538675,1.4462364875357413e-18,0.10150115835080903,0.159713695029435
attn_zeroed,2,mean_pooled,model_size1300,146850,1.3513445966475202,0.014850287382804826,90.99787511265569,0,1.3222383283081685,1.3804508649868719
attn_zeroed,2,mean_pooled,log_freq:model_size125,146850,-0.008285746093920675,0.02129160062976293,-0.389155622350828,0.6971615935486205,-0.050016860470990944,0.0334453682831496
